CASRN,Substance name,HSNO code,HSNO classification text,GHS translation
1315-09-9,Zinc selenide,6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
1315-09-9,Zinc selenide,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
1315-09-9,Zinc selenide,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1315-09-9,Zinc selenide,9.3B,Ecotoxic to terrestrial vertebrates,
13154-24-0,Chlorotriisopropylsilane,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
13154-24-0,Chlorotriisopropylsilane,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
1317-36-8,Lead (II) oxide,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
1317-36-8,Lead (II) oxide,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1317-36-8,Lead (II) oxide,6.8A,Known or presumed human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 1
1317-36-8,Lead (II) oxide,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1317-36-8,Lead (II) oxide,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1317-36-8,Lead (II) oxide,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1317-36-8,Lead (II) oxide,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1317-36-8,Lead (II) oxide,9.3C,Harmful to terrestrial vertebrates,
1317-38-0,Copper (II) oxide,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1317-38-0,Copper (II) oxide,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1317-38-0,Copper (II) oxide,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1317-38-0,Copper (II) oxide,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1317-38-0,Copper (II) oxide,9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
1317-38-0,Copper (II) oxide,9.3C,Harmful to terrestrial vertebrates,
1317-39-1,Copper (I) oxide,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
1317-39-1,Copper (I) oxide,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1317-39-1,Copper (I) oxide,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1317-39-1,Copper (I) oxide,6.9B (inhalation),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1317-39-1,Copper (I) oxide,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1317-39-1,Copper (I) oxide,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1317-39-1,Copper (I) oxide,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1317-39-1,Copper (I) oxide,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1317-39-1,Copper (I) oxide,9.3B,Ecotoxic to terrestrial vertebrates,
1319-46-6,Lead carbonate,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
1319-46-6,Lead carbonate,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1319-46-6,Lead carbonate,6.8A,Known or presumed human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 1
1319-46-6,Lead carbonate,6.9B (dermal),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1319-46-6,Lead carbonate,6.9B (inhalation),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1319-46-6,Lead carbonate,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1319-46-6,Lead carbonate,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1319-46-6,Lead carbonate,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1319-46-6,Lead carbonate,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1319-46-6,Lead carbonate,9.3C,Harmful to terrestrial vertebrates,
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",3.1D,Flammable Liquids: low hazard,GHS: Flammable liquids - Category 4
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",6.1A (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 1
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",6.1C (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 3
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",6.9A (inhalation),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",8.2B,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1B
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
1319-77-3,"Phenol, methyl- mixed isomers, (cresol)",9.3B,Ecotoxic to terrestrial vertebrates,
132-27-4,Sodium orthophenylphenate,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
132-27-4,Sodium orthophenylphenate,6.1E (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 5
132-27-4,Sodium orthophenylphenate,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
132-27-4,Sodium orthophenylphenate,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
132-27-4,Sodium orthophenylphenate,6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2
132-27-4,Sodium orthophenylphenate,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
132-27-4,Sodium orthophenylphenate,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
132-27-4,Sodium orthophenylphenate,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
132-27-4,Sodium orthophenylphenate,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
132-27-4,Sodium orthophenylphenate,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
132-27-4,Sodium orthophenylphenate,9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
132-27-4,Sodium orthophenylphenate,9.3C,Harmful to terrestrial vertebrates,
132-64-9,Dibenzofuran,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
132-65-0,Dibenzothiophene,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
13209-15-9,"1,2-Bis(dibromomethyl)-benzene",6.1E (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 5
13209-15-9,"1,2-Bis(dibromomethyl)-benzene",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
1322-93-6,Sodium diisopropylnaphthalenesulphonate,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1322-93-6,Sodium diisopropylnaphthalenesulphonate,6.1E (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 5
1322-93-6,Sodium diisopropylnaphthalenesulphonate,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
1322-93-6,Sodium diisopropylnaphthalenesulphonate,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1322-93-6,Sodium diisopropylnaphthalenesulphonate,9.3C,Harmful to terrestrial vertebrates,
13235-36-4,"Ethylenedinitrilotetraacetic acid, tetrasodium salt, tetrahydrate",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
13235-36-4,"Ethylenedinitrilotetraacetic acid, tetrasodium salt, tetrahydrate",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
13235-36-4,"Ethylenedinitrilotetraacetic acid, tetrasodium salt, tetrahydrate",9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
13235-36-4,"Ethylenedinitrilotetraacetic acid, tetrasodium salt, tetrahydrate",9.3B,Ecotoxic to terrestrial vertebrates,
1325-82-2,C.I. Pigment violet 3,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
13257-51-7,Mercury (II) trifluoroacetate,6.1A (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 1
13257-51-7,Mercury (II) trifluoroacetate,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
13257-51-7,Mercury (II) trifluoroacetate,6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
13257-51-7,Mercury (II) trifluoroacetate,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
13257-51-7,Mercury (II) trifluoroacetate,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
13257-51-7,Mercury (II) trifluoroacetate,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
13257-51-7,Mercury (II) trifluoroacetate,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
13257-51-7,Mercury (II) trifluoroacetate,9.3A,Very ecotoxic to terrestrial vertebrates,
1326-03-0,C.I. Pigment violet 1,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1327-53-3,Arsenic (III) oxide,6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
1327-53-3,Arsenic (III) oxide,6.7A,Known or presumed human carcinogens,GHS: Carcinogenicity - Category 1
1327-53-3,Arsenic (III) oxide,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
1327-53-3,Arsenic (III) oxide,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
1327-53-3,Arsenic (III) oxide,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1327-53-3,Arsenic (III) oxide,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1327-53-3,Arsenic (III) oxide,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1327-53-3,Arsenic (III) oxide,9.3A,Very ecotoxic to terrestrial vertebrates,
13280-61-0,"Benzene, 1,4-bis[2-(2-methylphenyl)ethenyl]-",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
13280-61-0,"Benzene, 1,4-bis[2-(2-methylphenyl)ethenyl]-",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
13283-01-7,Tungsten hexachloride,6.1A (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 1
13283-01-7,Tungsten hexachloride,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
13283-01-7,Tungsten hexachloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
13283-01-7,Tungsten hexachloride,9.3A,Very ecotoxic to terrestrial vertebrates,
13291-61-7,"Acetic acid, (1,2-cyclohexylenedinitrilo)tetra-, trans-",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
13291-61-7,"Acetic acid, (1,2-cyclohexylenedinitrilo)tetra-, trans-",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
13292-46-1,Rifampin,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
13292-46-1,Rifampin,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
13292-46-1,Rifampin,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
13292-46-1,Rifampin,6.5A (respiratory),Respiratory sensitisers,GHS: Respiratory sensitization - Category 1
13292-46-1,Rifampin,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
13292-46-1,Rifampin,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
13292-46-1,Rifampin,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
13292-46-1,Rifampin,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
13292-46-1,Rifampin,9.3B,Ecotoxic to terrestrial vertebrates,
133-06-2,Captan,6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
133-06-2,Captan,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
133-06-2,Captan,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
133-06-2,Captan,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
133-06-2,Captan,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
133-06-2,Captan,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
133-06-2,Captan,9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
133-07-3,Folpet,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
133-07-3,Folpet,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
133-07-3,Folpet,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
133-07-3,Folpet,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
133-07-3,Folpet,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
133-07-3,Folpet,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
133-07-3,Folpet,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
133-07-3,Folpet,9.3C,Harmful to terrestrial vertebrates,
133-13-1,Diethyl ethylmalonate,6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
133-14-2,"Peroxide, bis(2,4-dichlorobenzoyl) paste in silicon oil",5.2D,Organic peroxides: type D,GHS: Organic peroxides - Type D
133-14-2,"Peroxide, bis(2,4-dichlorobenzoyl) paste in silicon oil",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
133-14-2,"Peroxide, bis(2,4-dichlorobenzoyl) paste in silicon oil",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
133-32-4,Indolylbutyric acid,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
133-32-4,Indolylbutyric acid,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
133-32-4,Indolylbutyric acid,9.3B,Ecotoxic to terrestrial vertebrates,
1330-20-7,"Benzene, dimethyl-, mixed isomers",3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
1330-20-7,"Benzene, dimethyl-, mixed isomers",6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
1330-20-7,"Benzene, dimethyl-, mixed isomers",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1330-20-7,"Benzene, dimethyl-, mixed isomers",6.1E (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 5
1330-20-7,"Benzene, dimethyl-, mixed isomers",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
1330-20-7,"Benzene, dimethyl-, mixed isomers",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1330-20-7,"Benzene, dimethyl-, mixed isomers",6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
1330-20-7,"Benzene, dimethyl-, mixed isomers",6.9B (inhalation),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1330-20-7,"Benzene, dimethyl-, mixed isomers",6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1330-20-7,"Benzene, dimethyl-, mixed isomers",9.1D (algal),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
1330-20-7,"Benzene, dimethyl-, mixed isomers",9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
1330-20-7,"Benzene, dimethyl-, mixed isomers",9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
1330-20-7,"Benzene, dimethyl-, mixed isomers",9.3C,Harmful to terrestrial vertebrates,
1330-43-4,"Sodium borate, anhydrous",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1330-43-4,"Sodium borate, anhydrous",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1330-43-4,"Sodium borate, anhydrous",6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
1330-43-4,"Sodium borate, anhydrous",9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
1330-43-4,"Sodium borate, anhydrous",9.3C,Harmful to terrestrial vertebrates,
1330-78-5,Tricresyl phosphate,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
1330-78-5,Tricresyl phosphate,6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
1330-78-5,Tricresyl phosphate,6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3
1330-78-5,Tricresyl phosphate,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1330-78-5,Tricresyl phosphate,6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
1330-78-5,Tricresyl phosphate,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
1330-78-5,Tricresyl phosphate,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1330-78-5,Tricresyl phosphate,9.1B (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
1330-78-5,Tricresyl phosphate,9.1B (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
1331-22-2,Methylcyclohexanone (mixture of isomers),3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
1331-22-2,Methylcyclohexanone (mixture of isomers),6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
1331-22-2,Methylcyclohexanone (mixture of isomers),6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1331-22-2,Methylcyclohexanone (mixture of isomers),9.3C,Harmful to terrestrial vertebrates,
1332-14-5,"Copper (II) sulphate, basic",6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
1332-14-5,"Copper (II) sulphate, basic",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
1332-14-5,"Copper (II) sulphate, basic",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1332-14-5,"Copper (II) sulphate, basic",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
1332-14-5,"Copper (II) sulphate, basic",6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1332-14-5,"Copper (II) sulphate, basic",9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1332-14-5,"Copper (II) sulphate, basic",9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1332-14-5,"Copper (II) sulphate, basic",9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1332-14-5,"Copper (II) sulphate, basic",9.3B,Ecotoxic to terrestrial vertebrates,
1332-40-7,Copper oxychloride,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1332-40-7,Copper oxychloride,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
1332-40-7,Copper oxychloride,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1332-40-7,Copper oxychloride,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1332-40-7,Copper oxychloride,9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
1332-40-7,Copper oxychloride,9.3C,Harmful to terrestrial vertebrates,
1332-65-6,Copper (II) oxychloride,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
1332-65-6,Copper (II) oxychloride,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
1332-65-6,Copper (II) oxychloride,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
1332-65-6,Copper (II) oxychloride,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1332-65-6,Copper (II) oxychloride,9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
1332-65-6,Copper (II) oxychloride,9.3C,Harmful to terrestrial vertebrates,
1333-74-0,Hydrogen,2.1.1A,Flammable Gases: high hazard,GHS: Flammable gases - Category 1
1333-78-4,Antimony potassium oxide,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
1333-78-4,Antimony potassium oxide,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
1333-78-4,Antimony potassium oxide,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1333-82-0,Chromium oxide,5.1.1B,Oxidising substances that are liquids or solids: medium hazard,GHS: Oxidizing liquids/solids - Category 2
1333-82-0,Chromium oxide,6.1B (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 2
1333-82-0,Chromium oxide,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
1333-82-0,Chromium oxide,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
1333-82-0,Chromium oxide,6.5A (respiratory),Respiratory sensitisers,GHS: Respiratory sensitization - Category 1
1333-82-0,Chromium oxide,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
1333-82-0,Chromium oxide,6.6A,Known or presumed human mutagens,GHS: Germ cell mutagenicity - Category 1
1333-82-0,Chromium oxide,6.7A,Known or presumed human carcinogens,GHS: Carcinogenicity - Category 1
1333-82-0,Chromium oxide,6.8A,Known or presumed human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 1
1333-82-0,Chromium oxide,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
1333-82-0,Chromium oxide,8.1A,Corrosive to metals,GHS: Corrosive to metals - Category 1
1333-82-0,Chromium oxide,8.2B,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1B
1333-82-0,Chromium oxide,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
1333-82-0,Chromium oxide,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1333-82-0,Chromium oxide,9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
1333-82-0,Chromium oxide,9.2B,Ecotoxic in the soil environment,
1333-82-0,Chromium oxide,9.3B,Ecotoxic to terrestrial vertebrates,
1333-84-2,Activated alumina,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
1333-84-2,Activated alumina,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1333-86-4,Carbon black,6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3
1333-86-4,Carbon black,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
1333-86-4,Carbon black,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
1335-32-6,"Lead acetate, basic",6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
1335-32-6,"Lead acetate, basic",6.8A,Known or presumed human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 1
1335-32-6,"Lead acetate, basic",6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
1335-32-6,"Lead acetate, basic",9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1335-32-6,"Lead acetate, basic",9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
1335-32-6,"Lead acetate, basic",9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
13355-96-9,"Stannane, butylchlorodihydroxy-",6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
13355-96-9,"Stannane, butylchlorodihydroxy-",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
13355-96-9,"Stannane, butylchlorodihydroxy-",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
13360-57-1,Dimethylsulphamoyl chloride,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
13360-57-1,Dimethylsulphamoyl chloride,6.7A,Known or presumed human carcinogens,GHS: Carcinogenicity - Category 1
13360-57-1,Dimethylsulphamoyl chloride,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
13360-57-1,Dimethylsulphamoyl chloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
13360-57-1,Dimethylsulphamoyl chloride,9.3A,Very ecotoxic to terrestrial vertebrates,
13361-30-3,Isopropyl cyanoacetate,3.1D,Flammable Liquids: low hazard,GHS: Flammable liquids - Category 4
13361-32-5,Allyl cyanoacetate,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
13361-32-5,Allyl cyanoacetate,9.3B,Ecotoxic to terrestrial vertebrates,
