CASRN,Name,Hazard class,Category,H-statement,M-factor
57-39-6,"Tris(2-methylaziridin-1-yl)phosphine oxide ; Aziridine, 1,1',1''-phosphinylidynetris[2-methyl- ; Methyl aphoxide",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
96-34-4,Methyl chloroacetate,Flammable liquids,Category 3,H226 - Flammable liquid and vapour,
96-34-4,Chloroacetic acid methyl ester ; Methyl α-chloroacetate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
96-34-4,Chloroacetic acid methyl ester ; Methyl α-chloroacetate,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
96-34-4,Chloroacetic acid methyl ester ; Methyl α-chloroacetate,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
96-34-4,Chloroacetic acid methyl ester ; Methyl α-chloroacetate,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
96-34-4,Chloroacetic acid methyl ester ; Methyl α-chloroacetate,Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
96-34-4,Chloroacetic acid methyl ester ; Methyl α-chloroacetate,Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
96-34-4,Chloroacetic acid methyl ester ; Methyl α-chloroacetate,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
953-17-3,Methyl trithion,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
953-17-3,"Phosphorodithioic acid, S-[[(4-chlorophenyl)thio]methyl] O,O-dimethyl ester ; Methyl trithion",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
953-17-3,"Phosphorodithioic acid, S-[[(4-chlorophenyl)thio]methyl] O,O-dimethyl ester ; Methyl trithion",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
953-17-3,"Phosphorodithioic acid, S-[[(4-chlorophenyl)thio]methyl] O,O-dimethyl ester ; Methyl trithion",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
315-18-4,Mexacarbate,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
315-18-4,"4-Dimethylamino-3,5-dimethylphenyl N-methylcarbamate ; Mexacarbate",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
315-18-4,"4-Dimethylamino-3,5-dimethylphenyl N-methylcarbamate ; Mexacarbate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
315-18-4,"4-Dimethylamino-3,5-dimethylphenyl N-methylcarbamate ; Mexacarbate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
6923-22-4,Monocrotophos,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
6923-22-4,Dimethyl (E)-1-methyl-2-(methylcarbamoyl)vinyl phosphate ; Monocrotophos,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
6923-22-4,Dimethyl (E)-1-methyl-2-(methylcarbamoyl)vinyl phosphate ; Monocrotophos,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
6923-22-4,Dimethyl (E)-1-methyl-2-(methylcarbamoyl)vinyl phosphate ; Monocrotophos,Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
6923-22-4,Dimethyl (E)-1-methyl-2-(methylcarbamoyl)vinyl phosphate ; Monocrotophos,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
6923-22-4,Dimethyl (E)-1-methyl-2-(methylcarbamoyl)vinyl phosphate ; Monocrotophos,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2212-67-1,Molinate,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
2212-67-1,Molinate,Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
2212-67-1,Hexahydro-1H-azepin-1-carbothioic acid S-ethyl ester ; Molinate,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
2212-67-1,Hexahydro-1H-azepin-1-carbothioic acid S-ethyl ester ; Molinate,Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
2212-67-1,Hexahydro-1H-azepin-1-carbothioic acid S-ethyl ester ; Molinate,Reproductive toxicity,Category 2,H361 - Suspected of damaging fertility or the unborn child,
2212-67-1,Hexahydro-1H-azepin-1-carbothioic acid S-ethyl ester ; Molinate,Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
2212-67-1,Hexahydro-1H-azepin-1-carbothioic acid S-ethyl ester ; Molinate,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
2212-67-1,Hexahydro-1H-azepin-1-carbothioic acid S-ethyl ester ; Molinate,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2275-23-2,Vamidothion,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
2275-23-2,"O,O-Dimethyl S-[2-(1-methylcarbamoylethylthio)ethyl]phosphorothioate ; Vamidothion",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
2275-23-2,"O,O-Dimethyl S-[2-(1-methylcarbamoylethylthio)ethyl]phosphorothioate ; Vamidothion",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
2275-23-2,"O,O-Dimethyl S-[2-(1-methylcarbamoylethylthio)ethyl]phosphorothioate ; Vamidothion",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
8014-95-7,Fuming sulphuric acid,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,
8014-95-7,Fuming sulphuric acid,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
8014-95-7,Fuming sulphuric acid,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
22781-23-3,Bendiocarb,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
22781-23-3,"Bendiocarb ; 2,2-Dimethyl-1,3-benzodioxol-4-yl methylcarbamate",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
22781-23-3,"Bendiocarb ; 2,2-Dimethyl-1,3-benzodioxol-4-yl methylcarbamate",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
22781-23-3,"Bendiocarb ; 2,2-Dimethyl-1,3-benzodioxol-4-yl methylcarbamate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
22781-23-3,"Bendiocarb ; 2,2-Dimethyl-1,3-benzodioxol-4-yl methylcarbamate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
71-43-2,Benzene,Flammable liquids,Category 2,H225 - Highly flammable liquid and vapour,
71-43-2,Benzene,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
71-43-2,Benzene,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
71-43-2,Benzene,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
71-43-2,Benzene,Germ cell mutagenicity,Category 1,H340 - May cause genetic defects,
71-43-2,Benzene,Carcinogenicity,Category 1,H350 - May cause cancer,
71-43-2,Benzene,Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
71-43-2,Benzene,Aspiration hazard,Category 1,H304 - May be fatal if swallowed and enters airways,
71-43-2,Benzene,Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
1861-40-1,Benfluralin,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
1861-40-1,"Benzenamine, N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)- ; Benfluralin",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
122-10-1,Bomyl,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
122-10-1,"2-Pentenedioic acid, 3-[(dimethoxyphosphinyl)oxy]-, dimethyl ester ; Bomyl",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
122-10-1,"2-Pentenedioic acid, 3-[(dimethoxyphosphinyl)oxy]-, dimethyl ester ; Bomyl",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
52-51-7,Bronopol,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
52-51-7,"2-Bromo-2-nitro-1,3-propanediol ; Bronopol",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
52-51-7,"2-Bromo-2-nitro-1,3-propanediol ; Bronopol",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
52-51-7,"2-Bromo-2-nitro-1,3-propanediol ; Bronopol",Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
52-51-7,"2-Bromo-2-nitro-1,3-propanediol ; Bronopol",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
52-51-7,"2-Bromo-2-nitro-1,3-propanediol ; Bronopol",Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
56073-10-0,Brodifacoum,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,
56073-10-0,"3-[3-(4'-Bromo[1,1'-biphenyl]-4-yl)-1,2,3,4-tetrahydro-1-naphthalenyl]-4-hydroxy-2H-1-benzopyran-2-one ; Brodifacoum, Talon",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
56073-10-0,"3-[3-(4'-Bromo[1,1'-biphenyl]-4-yl)-1,2,3,4-tetrahydro-1-naphthalenyl]-4-hydroxy-2H-1-benzopyran-2-one ; Brodifacoum, Talon",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
56073-10-0,"3-[3-(4'-Bromo[1,1'-biphenyl]-4-yl)-1,2,3,4-tetrahydro-1-naphthalenyl]-4-hydroxy-2H-1-benzopyran-2-one ; Brodifacoum, Talon",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
56073-10-0,"3-[3-(4'-Bromo[1,1'-biphenyl]-4-yl)-1,2,3,4-tetrahydro-1-naphthalenyl]-4-hydroxy-2H-1-benzopyran-2-one ; Brodifacoum, Talon",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
56073-10-0,"3-[3-(4'-Bromo[1,1'-biphenyl]-4-yl)-1,2,3,4-tetrahydro-1-naphthalenyl]-4-hydroxy-2H-1-benzopyran-2-one ; Brodifacoum, Talon",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
598-31-2,Bromo-2-propanone,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
4824-78-6,Bromophos-ethyl,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
4824-78-6,"Phosphorothioic acid, O-(4-bromo-2,5-dichlorophenyl) O,O-diethyl ester ; Bromophos-ethyl",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
4824-78-6,"Phosphorothioic acid, O-(4-bromo-2,5-dichlorophenyl) O,O-diethyl ester ; Bromophos-ethyl",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
4824-78-6,"Phosphorothioic acid, O-(4-bromo-2,5-dichlorophenyl) O,O-diethyl ester ; Bromophos-ethyl",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
63333-35-7,Bromethalin,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,100
63333-35-7,"Benzenamine, N-methyl-2,4-dinitro-N-(2,4,6-tribromophenyl)-6-(trifluoromethyl)- ; Bromethalin",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
63333-35-7,"Benzenamine, N-methyl-2,4-dinitro-N-(2,4,6-tribromophenyl)-6-(trifluoromethyl)- ; Bromethalin",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
63333-35-7,"Benzenamine, N-methyl-2,4-dinitro-N-(2,4,6-tribromophenyl)-6-(trifluoromethyl)- ; Bromethalin",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
63333-35-7,"Benzenamine, N-methyl-2,4-dinitro-N-(2,4,6-tribromophenyl)-6-(trifluoromethyl)- ; Bromethalin",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
34681-10-2,Butocarboxim,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
34681-10-2,"2-Butanone, 3-(methylthio)-, O-[(methylamino)carbonyl]oxime ; Butocarboxim",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
34681-10-2,"2-Butanone, 3-(methylthio)-, O-[(methylamino)carbonyl]oxime ; Butocarboxim",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
34681-10-2,"2-Butanone, 3-(methylthio)-, O-[(methylamino)carbonyl]oxime ; Butocarboxim",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
8065-36-9,Bufencarb,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
8065-36-9,"Phenol, 3-(1-ethylpropyl)-, methylcarbamate, mixt. with 3-(1-methylbutyl)phenyl methylcarbamate ; Bufencarb",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
8065-36-9,"Phenol, 3-(1-ethylpropyl)-, methylcarbamate, mixt. with 3-(1-methylbutyl)phenyl methylcarbamate ; Bufencarb",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
8065-36-9,"Phenol, 3-(1-ethylpropyl)-, methylcarbamate, mixt. with 3-(1-methylbutyl)phenyl methylcarbamate ; Bufencarb",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
485-31-4,Binapacryl,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
485-31-4,"2-sec-Butyl-4,6-dinitrophenyl 3-methylcrotonate ; 3-Methyl-2-butenoic acid 2-(1-methylpropyl)-4,6-dinitrophenyl ester ; Binapacryl",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
485-31-4,"2-sec-Butyl-4,6-dinitrophenyl 3-methylcrotonate ; 3-Methyl-2-butenoic acid 2-(1-methylpropyl)-4,6-dinitrophenyl ester ; Binapacryl",Reproductive toxicity,Category 1,H360 - May damage fertility or the unborn child,
485-31-4,"2-sec-Butyl-4,6-dinitrophenyl 3-methylcrotonate ; 3-Methyl-2-butenoic acid 2-(1-methylpropyl)-4,6-dinitrophenyl ester ; Binapacryl",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
485-31-4,"2-sec-Butyl-4,6-dinitrophenyl 3-methylcrotonate ; 3-Methyl-2-butenoic acid 2-(1-methylpropyl)-4,6-dinitrophenyl ester ; Binapacryl",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
106-20-7,Bis(2-ethylhexyl)amine,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
106-20-7,Bis(2-ethylhexyl)amine,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
106-20-7,Bis(2-ethylhexyl)amine,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
106-20-7,Bis(2-ethylhexyl)amine,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
106-20-7,Bis(2-ethylhexyl)amine,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
106-20-7,Bis(2-ethylhexyl)amine,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
111-44-4,Bis(chloromethyl)ether,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
111-44-4,Bis(chloromethyl)ether,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
111-44-4,Bis(chloromethyl)ether,Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
542-88-1,Bis(chloromethyl)ether,Flammable liquids,Category 2,H225 - Highly flammable liquid and vapour,
542-88-1,Bis(chloromethyl) ether,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
542-88-1,Bis(chloromethyl) ether,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
542-88-1,Bis(chloromethyl) ether,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
542-88-1,Bis(chloromethyl) ether,Carcinogenicity,Category 1,H350 - May cause cancer,
39603-48-0,Bisthiosemi,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
6317-18-6,Methylenebisthiocyanate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
6317-18-6,Methylenebisthiocyanate,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
6317-18-6,Methylenebisthiocyanate,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
6317-18-6,Methylenebisthiocyanate,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
6317-18-6,Methylenebis(thiocyanate),Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
13356-08-6,Fenbutatin oxide,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,100
13356-08-6,"Hexakis(2-methyl-2-phenylpropyl)distannoxane ; Bis[tris[2-methyl-2-phenylpropyl)tin] oxide, Fenbutatin oxide, Vendex",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
13356-08-6,"Hexakis(2-methyl-2-phenylpropyl)distannoxane ; Bis[tris[2-methyl-2-phenylpropyl)tin] oxide, Fenbutatin oxide, Vendex",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
13356-08-6,"Hexakis(2-methyl-2-phenylpropyl)distannoxane ; Bis[tris[2-methyl-2-phenylpropyl)tin] oxide, Fenbutatin oxide, Vendex",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
13356-08-6,"Hexakis(2-methyl-2-phenylpropyl)distannoxane ; Bis[tris[2-methyl-2-phenylpropyl)tin] oxide, Fenbutatin oxide, Vendex",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2346-99-8,Cerezin,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
543-21-5,Cellocidin,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
543-21-5,2-Butynediamide ; Cellocidin,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
115-93-5,Cythioate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
69581-33-5,Cyprofuram,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
69581-33-5,N-(3-Chlorophenyl)-N-(tetrahydro-2-oxo-3-furyl)cyclopropanecarboxamide ; Cyprofuram,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
69581-33-5,N-(3-Chlorophenyl)-N-(tetrahydro-2-oxo-3-furyl)cyclopropanecarboxamide ; Cyprofuram,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
68359-37-5,Cyfluthrin,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
68359-37-5,"α-cyano-4-fluoro-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate ; Cyfluthrin, Baythroid, Cyfoxylate",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
68359-37-5,"α-cyano-4-fluoro-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate ; Cyfluthrin, Baythroid, Cyfoxylate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
68359-37-5,"α-cyano-4-fluoro-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate ; Cyfluthrin, Baythroid, Cyfoxylate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
68085-85-8,Cyhalothrin,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,1000
68085-85-8,"3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester ; Cyhalothrin, Grenade",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
68085-85-8,"3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester ; Cyhalothrin, Grenade",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
68085-85-8,"3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester ; Cyhalothrin, Grenade",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2032-59-9,Aminocarb,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
2032-59-9,4-Dimethylamino-3-methylphenyl N-methylcarbamate ; Aminocarb,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
2032-59-9,4-Dimethylamino-3-methylphenyl N-methylcarbamate ; Aminocarb,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
2032-59-9,4-Dimethylamino-3-methylphenyl N-methylcarbamate ; Aminocarb,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
78-53-5,Amiton,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,
2813-95-8,Dinoseb acetate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
2813-95-8,"2-(1-Methylpropyl)-4,6-dinitrophenyl acetate ; Dinoseb acetate",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
141-78-6,Ethyl acetate,Flammable liquids,Category 2,H225 - Highly flammable liquid and vapour,
141-78-6,Acetic acid ethyl ester ; Ethyl acetate,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
141-78-6,Acetic acid ethyl ester ; Ethyl acetate,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
141-78-6,Acetic acid ethyl ester ; Ethyl acetate,Specific target organ toxicity - Single exposure,Category 3,H336 - May cause drowsiness or dizziness,
563-68-8,Thallium acetate,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
79-06-1,Acrylamide,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
79-06-1,2-Propenamide ; Acrylamide,Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
79-06-1,2-Propenamide ; Acrylamide,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
79-06-1,2-Propenamide ; Acrylamide,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
79-06-1,2-Propenamide ; Acrylamide,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
79-06-1,2-Propenamide ; Acrylamide,Germ cell mutagenicity,Category 1,H340 - May cause genetic defects,
79-06-1,2-Propenamide ; Acrylamide,Carcinogenicity,Category 1,H350 - May cause cancer,
79-06-1,2-Propenamide ; Acrylamide,Reproductive toxicity,Category 2,H361 - Suspected of damaging fertility or the unborn child,
79-06-1,2-Propenamide ; Acrylamide,Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
545-55-1,Aphoxide,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
545-55-1,Tri(aziridin-1-yl)phosphine oxide ; Aphoxide,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
52-46-0,Apholate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
52-46-0,"1,3,5,2,4,6-Triazatriphosphorine, 2,2,4,4,6,6-hexakis(1-aziridinyl)-2,2,4,4,6,6-hexahydro- ; Apholate",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
5827-05-4,Aphidan,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
5827-05-4,"Phosphorodithioic acid, S-[(ethylsulfinyl)methyl] O,O-bis(1-methylethyl) ester ; Aphidan",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
5827-05-4,"Phosphorodithioic acid, S-[(ethylsulfinyl)methyl] O,O-bis(1-methylethyl) ester ; Aphidan",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
5827-05-4,"Phosphorodithioic acid, S-[(ethylsulfinyl)methyl] O,O-bis(1-methylethyl) ester ; Aphidan",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
86-88-4,Antu,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
86-88-4,"Thiourea, 1-naphthalenyl- ; ANTU",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
1646-88-4,Aldoxycarb,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
1646-88-4,2-Methyl-2-(methylsulfonyl)propionaldehyde O-(methylcarbamoyl)oxime ; Aldoxycarb,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
1646-88-4,2-Methyl-2-(methylsulfonyl)propionaldehyde O-(methylcarbamoyl)oxime ; Aldoxycarb,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
309-00-2,Aldrin,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
309-00-2,"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexachloro-1,4-endo-exo-5,8-dimethanonaphthalene ; Aldrin",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
309-00-2,"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexachloro-1,4-endo-exo-5,8-dimethanonaphthalene ; Aldrin",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
309-00-2,"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexachloro-1,4-endo-exo-5,8-dimethanonaphthalene ; Aldrin",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
309-00-2,"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexachloro-1,4-endo-exo-5,8-dimethanonaphthalene ; Aldrin",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
309-00-2,"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexachloro-1,4-endo-exo-5,8-dimethanonaphthalene ; Aldrin",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
116-06-3,Aldicarb,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,10
116-06-3,"Propanal, 2-methyl-2-(methylthio)-, O-[(methylamino)carbonyl]oxime ; Aldicarb",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
116-06-3,"Propanal, 2-methyl-2-(methylthio)-, O-[(methylamino)carbonyl]oxime ; Aldicarb",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
116-06-3,"Propanal, 2-methyl-2-(methylthio)-, O-[(methylamino)carbonyl]oxime ; Aldicarb",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
116-06-3,"Propanal, 2-methyl-2-(methylthio)-, O-[(methylamino)carbonyl]oxime ; Aldicarb",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
83130-01-2,Alanycarb,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,10
83130-01-2,"5-Oxa-2,8-dithia-4,7,9-triazadodec-3-en-12-oic acid, 3,7-dimethyl-6-oxo-9-(phenylmethyl)-, ethyl ester, (3Z)- ; Alanycarb",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
